"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"493","BSU04880_ydcS",0,0,0,NA,NA,NA,NA
"494","BSU04890_ydcT",0,0,0,NA,NA,NA,NA
"495","BSU04900_yddA",0,0,0,NA,NA,NA,NA
"496","BSU04910_yddB",3.63393447248815,6.32755603346321,0.94031291151308,0.148606018902123,-2.75043554519933,0.518533702501558,1
"497","BSU04920_yddC",0,0,0,NA,NA,NA,NA
"498","BSU04930_yddD",0.790944504182902,1.5818890083658,0,0,-Inf,0.627778373133682,1
"499","BSU04940_yddE",2.72153856871065,4.97292068166476,0.47015645575654,0.094543324909648,-3.40288058733422,0.184090405237812,1
"500","BSU04950_yddF",0.489627768065833,0.509099080375127,0.47015645575654,0.92350678655736,-0.114805531734146,1,1
"501","BSU04960_yddG",3.91174445734077,6.55480969003057,1.26867922465097,0.193549360644376,-2.36922655293377,0.340744173186689,1
"502","BSU04970_yddH",0.65381092463478,0.509099080375127,0.798522768894433,1.56850169186329,0.64938708534439,1,1
"503","BSU04980_yddI",1.02602273206117,1.5818890083658,0.47015645575654,0.297212037804247,-1.75043554519933,0.861609128259466,1
"504","BSU04990_yddJ",3.97798296557957,7.62759961802124,0.328366313137893,0.0430497574049486,-4.53785108204026,0.317774263615698,1
"505","BSU05000_yddK",2.68259594409206,3.95472252091451,1.41046936726962,0.356654445365096,-1.48740113936553,0.73510362498352,1
"506","BSU05010_rapI",2.39609395721376,4.46382160128964,0.328366313137893,0.0735617017138466,-3.76490133555871,0.34762890988589,1
"507","BSU05020_phrI",0,0,0,NA,NA,NA,NA
"508","BSU05030_yddM",1.10070693572626,0.790944504182902,1.41046936726962,1.78327222682548,0.834526955521828,0.980959552960683,1
"509","BSU05040_yddN",89.9709231580674,82.3204345482614,97.6214117678733,1.18587094812578,0.245947017785103,0.624340061994501,1
"510","BSU05050_lrpA",63.8267492351523,77.1748519772697,50.4786464930349,0.654081545992499,-0.612457583529345,0.122183204296192,0.980787119534871
"511","BSU05060_lrpB",5.27725459300775,4.63648349061656,5.91802569539893,1.27640391848175,0.352084942721959,0.958177033848516,1
"512","BSU05070_yddQ",88.902345511144,94.929841435553,82.8748495867351,0.873011566578861,-0.195927326559086,0.568824961923341,1
"513","BSU05080_yddR",14.0969635375709,14.2458876628979,13.9480394122439,0.979092334735325,-0.0304831731756182,1,1
"514","BSU05090_yddS",38.2980598605626,31.3191161514792,45.277003569646,1.44566670881316,0.531734984539719,0.35839775870942,1
"515","BSU05099_ydzM",12.4217864439454,11.0821096461663,13.7614632417246,1.24177288270065,0.312401332202638,0.878786285639982,1
"516","BSU05100_yddT",38.4851616816123,35.7829377527688,41.1873856104558,1.15103421342952,0.202930716885879,0.699575084201872,1
"517","BSU05109_ydzN",15.4426605807443,16.5641294082062,14.3211917532824,0.864590670620297,-0.209910825993875,0.841832297865734,1
"518","BSU05110_ydeA",15.0198193421353,16.5095376409657,13.5301010433048,0.819532402272248,-0.287127103862382,0.604396679676047,1
"519","BSU05120_cspC",979.335605725493,842.372378784755,1116.29883266623,1.32518451551872,0.406193251064871,0.0702829740841539,0.913762848846583
"520","BSU05130_ydeB",262.412167148264,246.744208817429,278.080125479098,1.12699757701246,0.172484413792416,0.506031589594141,1
"521","BSU05140_ydzE",13.8837526731124,9.78206606160825,17.9854392846166,1.83861355784584,0.878618284118948,0.378951599234252,1
"522","BSU05150_ydeC",81.7896563282579,73.5476800597977,90.031632596718,1.22412607064585,0.291752146371586,0.492990525132796,1
"523","BSU05160_ydeD",20.9934834786157,16.9640449541004,25.022922003131,1.4750563365539,0.560770056111645,0.56948230572962,1
"524","BSU05170_ydeE",177.677779053971,179.441561019431,175.913997088512,0.980341433105695,-0.0286437966187791,0.862699311619533,1
"525","BSU05180_ydeF",59.7419644325584,60.3111039700444,59.1728248950724,0.981126542211242,-0.0274888727679969,0.933581890076457,1
"526","BSU05190_ydeG",36.8402021732481,32.1646524229025,41.5157519235937,1.2907259614605,0.368182729530869,0.478506615929791,1
"527","BSU05200_ydeH",84.9199780496047,66.7110249459594,103.12893115325,1.54590536177179,0.628452002133619,0.13286293827277,1
"528","BSU05210_ydeI",49.1859149706934,52.3559537485806,46.0158761928062,0.878904363270312,-0.186221905789597,0.616258744350525,1
"529","BSU05220_ydeJ",278.984795682296,282.97149505412,274.998096310472,0.971822607990521,-0.0412350999126949,0.7354311521206,1
"530","BSU05230_ydeK",15.1381427990551,12.6639986545321,17.6122869435781,1.39073664045875,0.475849246999776,0.637449429295692,1
"531","BSU05240_ydeL",194.873225034661,184.078044510047,205.668405559275,1.11728916996426,0.160002623674619,0.65217319471427,1
"532","BSU05250_ydeM",113.777489988785,119.903628378358,107.651351599213,0.897815629561414,-0.155508883358261,0.617598555279514,1
"533","BSU05260_ydeN",33.2783095467151,28.8916908716901,37.6649282217402,1.30365953273599,0.382567140605723,0.61800159359815,1
"534","BSU05270_ydzF",20.5973169995116,18.3732720731393,22.8213619258838,1.2420956830682,0.312776313792641,0.681980283040835,1
"535","BSU05280_ydeO",97.8237197607155,112.048775103769,83.598664417662,0.746091729608295,-0.422575078729373,0.224867189362421,1
"536","BSU05290_ydeP",83.5168489060772,85.0842970190987,81.9494007930556,0.96315540780293,-0.0541594951805241,0.839289324388058,1
"537","BSU05300_ydeQ",34.4205390285167,34.9374014813455,33.9036765756878,0.970412083846316,-0.0433305794695282,0.964830978848323,1
