"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"
"111"	600	316	159	56	16	10	1	4	1	0	0	0	0	0	0	0	0
"112"	602	330	143	40	34	8	3	0	2	1	0	0	0	0	0	0	0
"113"	593	344	135	55	21	5	5	5	0	0	0	0	0	0	0	0	0
"114"	613	330	139	51	18	8	3	0	1	0	0	0	0	0	0	0	0
"115"	608	323	135	62	23	4	3	4	0	1	0	0	0	0	0	0	0
"116"	599	321	146	56	30	8	1	2	0	0	0	0	0	0	0	0	0
"117"	586	318	165	60	23	5	3	3	0	0	0	0	0	0	0	0	0
"118"	586	336	145	56	30	6	2	1	0	1	0	0	0	0	0	0	0
"119"	587	339	139	64	23	8	3	0	0	0	0	0	0	0	0	0	0
"120"	569	381	123	48	30	6	5	1	0	0	0	0	0	0	0	0	0
"121"	604	329	138	60	21	7	1	3	0	0	0	0	0	0	0	0	0
"122"	601	326	143	48	28	9	4	2	1	0	1	0	0	0	0	0	0
"123"	606	325	147	57	13	10	4	1	0	0	0	0	0	0	0	0	0
"124"	589	352	148	45	18	6	1	3	1	0	0	0	0	0	0	0	0
"125"	625	318	131	61	18	5	5	0	0	0	0	0	0	0	0	0	0
"126"	614	323	133	57	17	10	7	2	0	0	0	0	0	0	0	0	0
"127"	556	362	146	64	21	7	4	3	0	0	0	0	0	0	0	0	0
"128"	602	316	144	65	23	4	5	4	0	0	0	0	0	0	0	0	0
"129"	590	341	138	56	23	12	1	2	0	0	0	0	0	0	0	0	0
"130"	599	336	129	54	27	8	7	2	1	0	0	0	0	0	0	0	0
"131"	606	314	144	65	21	9	3	0	0	1	0	0	0	0	0	0	0
"132"	575	328	157	72	21	6	0	4	0	0	0	0	0	0	0	0	0
"133"	587	329	157	54	22	8	3	2	1	0	0	0	0	0	0	0	0
"134"	594	334	142	57	25	7	0	3	1	0	0	0	0	0	0	0	0
"135"	599	327	152	47	29	6	2	1	0	0	0	0	0	0	0	0	0
"136"	615	323	146	51	19	5	1	2	1	0	0	0	0	0	0	0	0
"137"	591	337	150	52	23	6	1	2	1	0	0	0	0	0	0	0	0
"138"	614	342	113	58	20	6	6	4	0	0	0	0	0	0	0	0	0
"139"	582	356	145	48	22	4	4	2	0	0	0	0	0	0	0	0	0
"140"	587	320	162	62	18	6	4	3	0	1	0	0	0	0	0	0	0
"141"	603	326	159	43	21	7	0	1	2	1	0	0	0	0	0	0	0
"142"	567	355	139	68	19	11	1	2	0	1	0	0	0	0	0	0	0
"143"	590	346	130	64	20	8	3	2	0	0	0	0	0	0	0	0	0
"144"	571	351	148	58	16	11	4	3	1	0	0	0	0	0	0	0	0
"145"	591	335	143	62	22	7	3	0	0	0	0	0	0	0	0	0	0
"146"	614	312	150	58	20	4	2	2	1	0	0	0	0	0	0	0	0
"147"	613	334	123	64	20	7	2	0	0	0	0	0	0	0	0	0	0
"148"	612	322	138	56	19	14	0	0	1	1	0	0	0	0	0	0	0
"149"	594	333	139	61	21	9	4	1	0	0	1	0	0	0	0	0	0
"150"	588	328	150	52	28	11	0	6	0	0	0	0	0	0	0	0	0
"151"	599	329	147	49	20	11	5	3	0	0	0	0	0	0	0	0	0
"152"	611	331	132	58	19	9	1	2	0	0	0	0	0	0	0	0	0
"153"	609	324	133	59	20	11	1	4	2	0	0	0	0	0	0	0	0
"154"	589	346	144	49	24	4	7	0	0	0	0	0	0	0	0	0	0
"155"	596	324	158	48	17	10	6	2	2	0	0	0	0	0	0	0	0
"156"	627	305	129	67	19	11	3	2	0	0	0	0	0	0	0	0	0
"157"	574	347	145	59	24	10	1	0	3	0	0	0	0	0	0	0	0
"158"	572	363	141	68	14	3	2	0	0	0	0	0	0	0	0	0	0
"159"	609	335	126	55	25	10	1	1	0	0	0	1	0	0	0	0	0
"160"	599	334	149	54	12	7	2	5	0	0	0	0	1	0	0	0	0
"161"	581	335	152	53	30	7	3	2	0	0	0	0	0	0	0	0	0
"162"	609	305	162	59	18	5	4	1	0	0	0	0	0	0	0	0	0
"163"	609	325	139	59	24	5	2	0	0	0	0	0	0	0	0	0	0
"164"	587	323	145	62	31	10	2	3	0	0	0	0	0	0	0	0	0
"165"	588	325	147	57	32	8	4	2	0	0	0	0	0	0	0	0	0
"166"	576	353	149	47	22	11	3	1	0	1	0	0	0	0	0	0	0
"167"	588	332	159	53	18	9	2	2	0	0	0	0	0	0	0	0	0
"168"	630	301	146	47	25	10	3	0	1	0	0	0	0	0	0	0	0
"169"	628	307	151	48	18	9	1	1	0	0	0	0	0	0	0	0	0
"170"	613	324	134	54	30	6	1	1	0	0	0	0	0	0	0	0	0
"171"	605	329	140	61	22	4	2	0	0	0	0	0	0	0	0	0	0
"172"	591	330	148	57	22	7	4	2	1	1	0	0	0	0	0	0	0
"173"	595	343	145	44	21	10	3	1	0	1	0	0	0	0	0	0	0
"174"	627	343	120	49	18	2	3	1	0	0	0	0	0	0	0	0	0
"175"	591	324	154	58	22	8	2	4	0	0	0	0	0	0	0	0	0
"176"	583	348	138	54	23	9	4	1	3	0	0	0	0	0	0	0	0
"177"	578	341	156	49	25	8	3	2	1	0	0	0	0	0	0	0	0
"178"	608	336	126	52	23	13	3	1	0	1	0	0	0	0	0	0	0
"179"	623	316	124	60	27	3	8	1	0	1	0	0	0	0	0	0	0
"180"	595	330	158	44	23	8	5	0	0	0	0	0	0	0	0	0	0
"181"	581	342	149	59	23	4	4	1	0	0	0	0	0	0	0	0	0
"182"	597	335	143	62	14	8	3	0	0	0	1	0	0	0	0	0	0
"183"	593	332	143	64	17	7	5	0	2	0	0	0	0	0	0	0	0
"184"	593	323	156	64	15	9	2	1	0	0	0	0	0	0	0	0	0
"185"	608	324	145	47	24	12	0	2	0	1	0	0	0	0	0	0	0
"186"	598	341	144	47	19	8	4	2	0	0	0	0	0	0	0	0	0
